15	15	15	15	15	0	0	0	0	0	15	15	15	15	15	0	0	0	0	0	15	15	15	15	15
15	15	15	15	0	8	8	8	8	8	0	15	15	15	0	8	8	8	8	8	0	15	15	15	15
15	15	15	0	8	8	8	8	8	8	8	0	15	0	8	8	8	8	8	8	8	0	15	15	15
15	15	0	8	8	8	0	8	0	8	8	8	0	8	8	8	0	8	0	8	8	8	0	15	15
15	0	0	8	0	8	8	8	8	8	0	8	0	8	0	8	8	8	8	8	0	8	0	0	15
0	5	0	8	8	8	8	8	8	8	8	8	0	8	8	8	8	8	8	8	8	8	0	5	0
0	5	0	8	8	8	0	8	0	8	8	8	0	8	8	8	0	8	0	8	8	8	0	5	0
0	5	0	8	0	8	8	8	8	8	0	8	0	8	0	8	8	8	8	8	0	8	0	5	0
0	5	0	8	8	8	8	8	8	8	8	8	0	8	8	8	8	8	8	8	8	8	0	5	0
0	5	0	8	8	8	8	8	8	8	8	8	0	8	8	8	8	8	8	8	8	8	0	5	0
0	5	0	8	0	0	0	0	0	0	8	8	0	8	8	0	0	0	0	0	0	8	0	5	0
0	5	0	0	8	8	8	8	8	8	0	8	0	8	0	8	8	8	8	8	8	0	0	5	0
0	5	0	8	0	0	0	0	0	0	8	0	0	0	8	0	0	0	0	0	0	8	0	5	0
0	5	0	0	5	5	5	5	5	5	0	8	0	8	0	5	5	5	5	5	5	0	0	5	0
0	5	5	5	5	5	5	5	5	5	5	0	0	0	5	5	5	5	5	5	5	5	5	5	0
0	5	5	5	5	0	0	0	0	0	5	5	5	5	5	0	0	0	0	0	5	5	5	5	0
0	5	5	0	0	15	15	15	15	15	0	0	0	0	0	15	15	15	15	15	0	0	5	5	0
15	0	0	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	0	0	15
